5 1.06523990631104 [32,1], free 1 [32,1], free 1
7 1.42219948768616 [36,34], free 1 [36,34], free 1
7 1.42584228515625 [4,31], free 1 [4,31], free 1
15 3.22907733917236 [28,9], free 1 [28,9], free 1
13 2.65956139564514 [59,9], free 1 [59,9], free 1
16 3.40966081619263 [40,27], free 1 [40,27], free 1
5 1.20754790306091 [147,23], free 1 [147,23], free 1
8 1.70932531356812 [16,51], free 1 [16,51], free 1
11 3.05431771278381 [33,31], free 1 [33,31], free 1
8 2.09897089004517 [89,17], free 1 [89,17], free 1
32 6.81270837783814 [12,27], free 1 [12,27], free 1
6 1.77214789390564 [83,23], free 1 [83,23], free 1
7 2.22260355949402 [153,41], free 1 [153,41], free 1
10 2.27287101745605 [55,51], free 1 [55,51], free 1
15 4.61529994010925 [81,43], free 1 [81,43], free 1
18 4.35340118408203 [14,11], free 1 [14,11], free 1
11 2.28181385993958 [20,28], free 1 [20,28], free 1
9 1.90432476997376 [131,32], free 1 [131,32], free 1
4 1.3957211971283 [43,27], free 1 [43,27], free 1
11 3.71329259872437 [11,33], free 1 [11,33], free 1
6 1.48726534843445 [9,47], free 1 [9,47], free 1
5 1.08663463592529 [21,9], free 1 [21,9], free 1
15 4.7588529586792 [29,11], free 1 [29,11], free 1
24 8.35076260566711 [104,53], free 1 [104,53], free 1
6 2.04987621307373 [79,19], free 1 [79,19], free 1
18 5.62476849555969 [10,49], free 1 [10,49], free 1
25 8.04528522491455 [145,7], free 1 [145,7], free 1
15 4.97820687294006 [45,35], free 1 [45,35], free 1
29 5.95727729797363 [29,41], free 1 [29,41], free 1
4 0.810699701309204 [23,17], free 1 [23,17], free 1
12 2.5005087852478 [125,51], free 1 [125,51], free 1
6 1.28631067276001 [7,7], free 1 [7,7], free 1
7 1.44804120063782 [31,17], free 1 [31,17], free 1
54 14.2087750434876 [73,5], free 1 [73,5], free 1
9 1.86389327049255 [97,5], free 1 [97,5], free 1
6 1.22521162033081 [30,53], free 1 [30,53], free 1
7 1.49532842636108 [130,31], free 1 [130,31], free 1
19 4.20661091804504 [89,16], free 1 [89,16], free 1
