11 0.3102142810821533 Robot: (2, 6, [0, 1, 0, 0]) Solution: [2, 6] [0, 1, 0, 0]
12 0.3902008533477783 Robot: (11, 37, [0, 0, 1, 0]) Solution: [11, 37] [0, 0, 1, 0]
11 0.34334444999694824 Robot: (25, 23, [1, 0, 1, 0]) Solution: [25, 23] [1, 0, 1, 0]
19 0.7654669284820557 Robot: (5, 27, [1, 0, 1, 0]) Solution: [5, 27] [1, 0, 1, 0]
10 0.4045398235321045 Robot: (30, 35, [0, 0, 1, 0]) Solution: [30, 35] [0, 0, 1, 0]
14 0.445615291595459 Robot: (23, 11, [0, 1, 0, 1]) Solution: [23, 11] [0, 1, 0, 1]
15 0.4217956066131592 Robot: (27, 13, [0, 0, 1, 1]) Solution: [27, 13] [0, 0, 1, 1]
13 0.44306111335754395 Robot: (25, 7, [0, 0, 0, 0]) Solution: [25, 7] [0, 0, 0, 0]
18 0.5357608795166016 Robot: (25, 9, [0, 0, 1, 1]) Solution: [25, 9] [0, 0, 1, 1]
20 0.714862585067749 Robot: (17, 23, [0, 1, 0, 0]) Solution: [17, 23] [0, 1, 0, 0]
29 0.890216588973999 Robot: (27, 17, [0, 0, 0, 0]) Solution: [27, 17] [0, 0, 0, 0]
28 0.7933862209320068 Robot: (26, 4, [0, 0, 0, 1]) Solution: [26, 4] [0, 0, 0, 1]
12 0.2914581298828125 Robot: (21, 5, [1, 0, 0, 0]) Solution: [21, 5] [1, 0, 0, 0]
46 1.1745269298553467 Robot: (1, 35, [0, 0, 0, 1]) Solution: [1, 35] [0, 0, 0, 1]
20 0.48406100273132324 Robot: (20, 14, [0, 0, 0, 1]) Solution: [20, 14] [0, 0, 0, 1]
24 0.5868513584136963 Robot: (31, 13, [0, 1, 0, 1]) Solution: [31, 13] [0, 1, 0, 1]
17 0.46285057067871094 Robot: (3, 9, [0, 1, 0, 0]) Solution: [3, 9] [0, 1, 0, 0]
15 0.41086435317993164 Robot: (20, 16, [0, 1, 0, 1]) Solution: [20, 16] [0, 1, 0, 1]
14 0.3448824882507324 Robot: (22, 13, [1, 0, 1, 0]) Solution: [22, 13] [1, 0, 1, 0]
