8 2.9731104373931885 Robot: (140, 7, [0, 0, 0, 0]) Solution: [140, 7] [0, 0, 0, 0]
7 2.9131760597229004 Robot: (89, 33, [1, 0, 1, 0]) Solution: [89, 33] [1, 0, 1, 0]
12 4.915550708770752 Robot: (61, 41, [0, 0, 0, 0]) Solution: [61, 41] [0, 0, 0, 0]
16 5.401278257369995 Robot: (153, 1, [1, 1, 0, 0]) Solution: [153, 1] [1, 1, 0, 0]
7 2.333484649658203 Robot: (28, 32, [0, 0, 0, 1]) Solution: [28, 32] [0, 0, 0, 1]
25 8.44813847541809 Robot: (103, 27, [0, 0, 1, 1]) Solution: [103, 27] [0, 0, 1, 1]
9 2.974006175994873 Robot: (82, 1, [1, 0, 0, 0]) Solution: [82, 1] [1, 0, 0, 0]
13 4.296680688858032 Robot: (17, 45, [0, 0, 1, 1]) Solution: [17, 45] [0, 0, 1, 1]
17 5.7086944580078125 Robot: (152, 45, [0, 0, 1, 0]) Solution: [152, 45] [0, 0, 1, 0]
7 1.6584875583648682 Robot: (107, 9, [0, 0, 1, 1]) Solution: [107, 9] [0, 0, 1, 1]
32 7.427577257156372 Robot: (110, 49, [0, 0, 1, 0]) Solution: [110, 49] [0, 0, 1, 0]
11 1.9675102233886719 Robot: (81, 49, [0, 1, 0, 0]) Solution: [81, 49] [0, 1, 0, 0]
14 2.544553756713867 Robot: (106, 45, [1, 0, 1, 0]) Solution: [106, 45] [1, 0, 1, 0]
4 0.7218468189239502 Robot: (45, 47, [0, 0, 1, 0]) Solution: [45, 47] [0, 0, 1, 0]
6 1.1152472496032715 Robot: (125, 38, [0, 0, 0, 1]) Solution: [125, 38] [0, 0, 0, 1]
5 0.9036223888397217 Robot: (103, 23, [0, 0, 0, 1]) Solution: [103, 23] [0, 0, 0, 1]
33 6.143922567367554 Robot: (53, 11, [0, 1, 0, 1]) Solution: [53, 11] [0, 1, 0, 1]
12 2.2245655059814453 Robot: (61, 25, [0, 0, 0, 1]) Solution: [61, 25] [0, 0, 0, 1]
5 0.892935037612915 Robot: (139, 45, [1, 0, 1, 0]) Solution: [139, 45] [1, 0, 1, 0]
10 2.2207658290863037 Robot: (133, 19, [0, 1, 0, 0]) Solution: [133, 19] [0, 1, 0, 0]
9 3.170729637145996 Robot: (109, 33, [0, 1, 0, 0]) Solution: [109, 33] [0, 1, 0, 0]
5 1.799288034439087 Robot: (17, 9, [0, 1, 0, 0]) Solution: [17, 9] [0, 1, 0, 0]
38 12.121518611907959 Robot: (111, 11, [0, 0, 1, 0]) Solution: [111, 11] [0, 0, 1, 0]
7 1.2902801036834717 Robot: (116, 20, [0, 0, 0, 0]) Solution: [116, 20] [0, 0, 0, 0]
5 1.7541286945343018 Robot: (95, 16, [0, 1, 0, 1]) Solution: [95, 16] [0, 1, 0, 1]
12 2.3495750427246094 Robot: (9, 47, [0, 0, 1, 0]) Solution: [9, 47] [0, 0, 1, 0]
7 1.3024256229400635 Robot: (9, 31, [1, 0, 0, 0]) Solution: [9, 31] [1, 0, 0, 0]
12 3.4804575443267822 Robot: (35, 5, [1, 0, 0, 1]) Solution: [35, 5] [1, 0, 0, 1]
7 1.2644264698028564 Robot: (73, 48, [0, 0, 0, 1]) Solution: [73, 48] [0, 0, 0, 1]
17 3.094465732574463 Robot: (73, 1, [1, 0, 0, 1]) Solution: [73, 1] [1, 0, 0, 1]
4 0.736208438873291 Robot: (64, 9, [1, 0, 0, 0]) Solution: [64, 9] [1, 0, 0, 0]
10 3.5030264854431152 Robot: (121, 3, [0, 1, 1, 0]) Solution: [121, 3] [0, 1, 1, 0]
6 2.1350338459014893 Robot: (129, 17, [0, 0, 0, 0]) Solution: [129, 17] [0, 0, 0, 0]
7 2.4739606380462646 Robot: (39, 19, [0, 0, 0, 1]) Solution: [39, 19] [0, 0, 0, 1]
4 1.0776138305664062 Robot: (141, 31, [1, 0, 0, 1]) Solution: [141, 31] [1, 0, 0, 1]
11 4.070545196533203 Robot: (8, 14, [0, 0, 1, 1]) Solution: [8, 14] [0, 0, 1, 1]
7 2.5117905139923096 Robot: (55, 41, [0, 0, 0, 0]) Solution: [55, 41] [0, 0, 0, 0]
7 2.605877637863159 Robot: (145, 37, [0, 0, 0, 0]) Solution: [145, 37] [0, 0, 0, 0]
13 4.036558151245117 Robot: (82, 27, [0, 0, 0, 0]) Solution: [82, 27] [0, 0, 0, 0]
10 2.09464430809021 Robot: (43, 36, [0, 0, 0, 0]) Solution: [43, 36] [0, 0, 0, 0]
20 4.4421610832214355 Robot: (119, 35, [0, 1, 1, 0]) Solution: [119, 35] [0, 1, 1, 0]
5 1.7462832927703857 Robot: (26, 2, [0, 0, 1, 0]) Solution: [26, 2] [0, 0, 1, 0]
4 1.409074306488037 Robot: (140, 6, [0, 0, 0, 1]) Solution: [140, 6] [0, 0, 0, 1]
32 12.087769746780396 Robot: (27, 50, [0, 0, 0, 0]) Solution: [27, 50] [0, 0, 0, 0]
8 1.6234755516052246 Robot: (115, 13, [0, 1, 0, 1]) Solution: [115, 13] [0, 1, 0, 1]
4 0.7635135650634766 Robot: (111, 51, [1, 1, 0, 1]) Solution: [111, 51] [1, 1, 0, 1]
13 3.016652822494507 Robot: (115, 21, [0, 0, 1, 0]) Solution: [115, 21] [0, 0, 1, 0]
7 2.664384603500366 Robot: (136, 9, [1, 0, 1, 0]) Solution: [136, 9] [1, 0, 1, 0]
16 5.423393249511719 Robot: (147, 10, [0, 1, 0, 0]) Solution: [147, 10] [0, 1, 0, 0]
15 5.207006454467773 Robot: (21, 13, [1, 0, 1, 0]) Solution: [21, 13] [1, 0, 1, 0]
13 3.71454119682312 Robot: (99, 1, [1, 0, 0, 1]) Solution: [99, 1] [1, 0, 0, 1]
21 4.941026926040649 Robot: (143, 36, [0, 0, 0, 1]) Solution: [143, 36] [0, 0, 0, 1]
11 2.1168148517608643 Robot: (93, 14, [0, 1, 0, 1]) Solution: [93, 14] [0, 1, 0, 1]
5 1.0348920822143555 Robot: (33, 27, [0, 1, 0, 0]) Solution: [33, 27] [0, 1, 0, 0]
4 1.0915207862854004 Robot: (151, 43, [0, 0, 1, 0]) Solution: [151, 43] [0, 0, 1, 0]
12 3.648690938949585 Robot: (59, 23, [0, 0, 0, 0]) Solution: [59, 23] [0, 0, 0, 0]
4 0.8827860355377197 Robot: (57, 47, [0, 0, 0, 1]) Solution: [57, 47] [0, 0, 0, 1]
7 1.5025169849395752 Robot: (25, 49, [1, 0, 0, 1]) Solution: [25, 49] [1, 0, 0, 1]
7 2.4492387771606445 Robot: (91, 5, [1, 0, 0, 1]) Solution: [91, 5] [1, 0, 0, 1]
15 2.8598461151123047 Robot: (115, 25, [0, 0, 0, 1]) Solution: [115, 25] [0, 0, 0, 1]
18 3.2613205909729004 Robot: (53, 11, [0, 1, 0, 1]) Solution: [53, 11] [0, 1, 0, 1]
12 3.1019792556762695 Robot: (51, 11, [1, 1, 0, 0]) Solution: [51, 11] [1, 1, 0, 0]
7 2.195993185043335 Robot: (117, 29, [0, 0, 1, 0]) Solution: [117, 29] [0, 0, 1, 0]
25 5.10792875289917 Robot: (92, 5, [0, 0, 1, 0]) Solution: [92, 5] [0, 0, 1, 0]
50 10.82534670829773 Robot: (69, 37, [1, 1, 0, 0]) Solution: [69, 37] [1, 1, 0, 0]
13 3.130392551422119 Robot: (82, 28, [0, 0, 0, 1]) Solution: [82, 28] [0, 0, 0, 1]
31 7.5318520069122314 Robot: (127, 43, [0, 1, 0, 0]) Solution: [127, 43] [0, 1, 0, 0]
11 1.9625277519226074 Robot: (63, 12, [0, 0, 0, 1]) Solution: [63, 12] [0, 0, 0, 1]
19 3.9302785396575928 Robot: (105, 38, [0, 1, 0, 1]) Solution: [105, 38] [0, 1, 0, 1]
18 6.440021753311157 Robot: (141, 17, [0, 1, 0, 1]) Solution: [141, 17] [0, 1, 0, 1]
8 2.7434287071228027 Robot: (80, 11, [1, 0, 0, 0]) Solution: [80, 11] [1, 0, 0, 0]
4 1.5055372714996338 Robot: (98, 38, [1, 1, 0, 1]) Solution: [98, 38] [1, 1, 0, 1]
6 2.0814173221588135 Robot: (17, 39, [1, 0, 0, 0]) Solution: [17, 39] [1, 0, 0, 0]
6 2.0933189392089844 Robot: (36, 10, [0, 0, 0, 0]) Solution: [36, 10] [0, 0, 0, 0]
10 3.5277254581451416 Robot: (75, 21, [1, 0, 0, 0]) Solution: [75, 21] [1, 0, 0, 0]
6 2.133389711380005 Robot: (104, 22, [0, 1, 0, 0]) Solution: [104, 22] [0, 1, 0, 0]
16 5.832771062850952 Robot: (81, 37, [0, 0, 0, 1]) Solution: [81, 37] [0, 0, 0, 1]
11 3.872166633605957 Robot: (98, 17, [1, 0, 0, 0]) Solution: [98, 17] [1, 0, 0, 0]
16 6.057463645935059 Robot: (117, 53, [0, 0, 1, 1]) Solution: [117, 53] [0, 0, 1, 1]
22 7.3164284229278564 Robot: (65, 25, [1, 1, 0, 0]) Solution: [65, 25] [1, 1, 0, 0]
15 4.603817462921143 Robot: (1, 11, [0, 0, 0, 1]) Solution: [1, 11] [0, 0, 0, 1]
6 2.159827470779419 Robot: (5, 51, [0, 0, 1, 0]) Solution: [5, 51] [0, 0, 1, 0]
15 5.204485893249512 Robot: (91, 1, [1, 0, 0, 0]) Solution: [91, 1] [1, 0, 0, 0]
